"name","responsibility","requirement","currency","from","to"
"Управляющий мебельного салона","Продажа корпусной мебели. - Работа с покупателями. Требования: - Активность в достижении высоких показателей продаж. - Быстрое освоения новой информации.","Наша компания открыта для продвинутых, энергичных и инициативных сотрудников, готовых к построению карьеры. - Мы не требуем опыта. Наше главное требование...","RUR","20000","70000"
"Продавец в мебельный салон (ТЦ Гагаринский)","Продажа корпусной мебели. Консультирование клиентов по ассортименту продаж. Поддержание высокого уровня сервиса. Оформление документов.","Позитивность. Ответственность. Нацеленность на результат. Коммуникативные навыки. Желание учиться.","RUR","20000","50000"
"Продавец в мебельный салон (ТЦ Новый дом)","Продажа корпусной мебели. Консультирование клиентов по ассортименту продаж. Поддержание высокого уровня сервиса. Оформление документов.","Позитивность. Ответственность. Нацеленность на результат. Коммуникативные навыки. Желание учиться.","RUR","20000","60000"
"Продавец-консультант","Продажа корпусной мебели. - Работа с покупателями. Требования: - Активность в достижении высоких показателей продаж. - Быстрое освоения новой информации.","Наша компания открыта для продвинутых, энергичных и инициативных сотрудников, готовых к построению карьеры. Мы не требуем опыта. Наше главное требование...","RUR","20000","50000"
"Заместитель управляющего салона мебели","Продажа корпусной мебели. - Работа с покупателями. Требования: - Активность в достижении высоких показателей продаж. - Быстрое освоения новой информации.","Наша компания открыта для продвинутых, энергичных и инициативных сотрудников, готовых к построению карьеры. - Мы не требуем опыта. Наше главное требование...","RUR","20000","60000"
"Оператор станка с ЧПУ","null","Опыт работы, чтение чертежей.","RUR","68500","73000"
"Токарь","Токарная обработка деталей на универсальных станках.","Опыт работы по специальности от 3-х лет с записью в трудовой книжке. 4-6 разряд.","RUR","55000","null"
"Специалист по недвижимости","Организация сделок с недвижимостью в интересах клиентов. Анализ рынка и объектов недвижимости. Подбор вариантов, предварительная оценка недвижимости. Организация проверки сделки...","Отличные коммуникативные навыки, способность найти подход к каждому клиенту. Опыт работы в продажах (если нет – научим!). Желание самореализоваться материально и...","RUR","35000","70000"
"Маляр по металлу","Высококачественное окрашивание поверхностей сухими порошками, различными красками и лаками в несколько тонов. Отделка поверхностей с шлифованием, лакированием и полированием. ","null","RUR","49000","null"
"Конструктор","Разработка конструкторской документации на нестандартное оборудование для ремонта компонентов тепловозов серии 2ТЭ116в/и и ТЭП70 в...","Опыт работы не менее 5 лет в должности инженера-конструктора 1 категории в машиностроении, вагоностроении, промышленных ремонтных предприятиях. ","RUR","90000","null"
"Руководитель проектов (ГИП)/Program manager","Поиск и привлечение клиентов в промышленности (основные направления производство автомобилей и авто компонентов, пищевая промышленность, табачная, энергетическая, авиастроительная и пр.). ","Успешный опыт работы на аналогичной позиции от 3х лет. Высшее техническое образование, техническая грамотность, чтение чертежей. Высокий уровень грамотности...","RUR","50000","null"
"Менеджер по продажам рекламы","Поддержание и развитие существующей клиентской базы. Исходящие звонки по представленной базе с целью заключения сделки. Проведение встреч на территории агентства...","Отличное знание ПК. Грамотность, грамотная речь, четкая дикция. Активная жизненная позиция. Общительность, коммуникабельность. Активность, желание работать и зарабатывать. ","RUR","20000","60000"
"Медицинский представитель","Планирование и предоставление отчетности по визитной активности. Создание постоянного спроса на продукты компании на закрепленной территории. Выполнение ежедневной нормы визитов...","Мы ищем медицинского представителя. Высшее/неполное высшее или среднее медицинское образование (желательно, но необязательно). Опыт работы в продажах фармацевтических препаратов...","RUR","50000","null"
"Контролер ОТК","null","Требуется - Контролер ОТК (чтение чертежей, знание мерительного инструмента(штангенциркуль, микрометр, глубиномер, штангенрейсмас, индикатор,нутромер).","RUR","55000","60000"
"Стропальщик","Погрузочно - разгрузочные работы.","Наличие соответствующей записи в трудовой книжке, подтверждающей опыт работы. Наличие действующего стропального удостоверения.","RUR","46750","49500"
"Фрезеровщик-зуборезчик на зубонарезной станок","null","null","RUR","72000","78000"
"Наладчик станков с ПУ на фрезерные центра","null","null","RUR","80000","86000"
"Оператор станков с ПУ","null","null","RUR","77000","85000"
"Кладовщик","Ведение складского хозяйства (прием на склад, взвешивание, хранение и выдача со склада различных ТМЦ. - Проверка соответствия принимаемых ТМЦ сопроводительным документом. - ","Опыт работы от 1 года.","RUR","55000","58000"
"Наладчик станков с ПУ на токарные центра","null","null","RUR","80000","86000"
"Сварщик НАКС","Сварка трубопроводов пара и горячей воды. Чтение чертежей.","null","RUR","106000","110000"
"Слесарь МСР","Сборка деталей тепловоза: рамы, двери. Получается что там большой стол - по чертежу на стол складываются все узлы и детали - прихватываются...","Опыт работы, чтение чертежей.","RUR","55000","null"
"Оператор станков с ПУ на токарные центра","null","null","RUR","77000","85000"
"Специалист по прямым продажам","Проводить презентации банковских продуктов для работников компаний-партнеров Сбербанка. Консультировать клиентов по банковским продуктам и услугам. Помогать клиентам в оформлении...","Легко находишь общий язык с незнакомыми людьми, не боишься проводить презентации индивидуальные и перед аудиторией. Умеешь создавать комфортные взаимоотношения с...","RUR","50000","null"
"Инженер по КИПиА","Наладка работы оборудования систем автоматизации производственных процессов. Планирование и проведение ТО и ремонтных работ всех систем управления и оборудования (программное...","Высшее профессиональное (техническое) образование. Опыт работы на аналогичной должности не менее 1 года. Отличное знание: Microsoft Word, Microsoft Excel. ","RUR","null","50000"
"Охранник","Контроль соблюдения режима на охраняемом объекте, предотвращение хищений. Обеспечение безопасности работников и посетителей на территории охраняемого объекта, пресечение конфликтных ситуаций.","Рассматриваем кандидатов с опытом и без опыта работы. Возможно без УЛЧО. Аккуратность, ответственность, желание работать.","RUR","45000","null"
"Фрезеровщик","null","Опыт работы со сплавами: бронза, титан, латунь, вольфрам, нержавейка.","RUR","66000","74000"
"Токарь","null","На завод Судовое машиностроение в г.Санкт- Петербург требуется токарь.Единичное производство, опыт работы на токарно-винторезных станках 16К20, ДИП...","RUR","60000","66000"
"Оператор станков с ПУ","работа на токарных центрах, стойка Фанук. - работа на фрезерных центрах, стойка Хайденхайн. Требования: - чтение чертежей, написание программ на самой стойке.","наличие документов для официального оформления.","RUR","78000","81000"
"Ведущий инженер ПТО (строительство)","Технический надзор за выполнением СМР, проверка соответствия объемов и конструкций утвержденной проектно-сметной документации и рабочим чертежам. Решение оперативных вопросов...","Высшее/средне-профессиональное строительное образование. Опыт работы в строительной компании. Опытный пользователь ПК (офисные программы, AutoCAD).","RUR","46000","null"
"Фрезеровщик","работа на станках 654, 6Р13. - единичное производство.","наличие документов для официального оформления.","RUR","68000","71000"
"Токарь-универсал","работа на станках 16к20, ДИП 300. - единичное производство.","наличие документов для официального оформления.","RUR","63000","66000"
"Курьер/Водитель-Экспедитор","Доставка товара со склада по Москве и ближнему Подмосковью на авто Компании. Проверка комплектации заказов при загрузке. Доставка заказов по...","Права категории В. Опыт вождения от 3-х лет. Опыт работы водителем, курьером, экспедитором. Умение пользоваться дорожной картой Москвы и...","RUR","45000","55000"
"Разнорабочий","Уборка территории.","null","RUR","60000","null"
"Токарь","Станок дип 300.","Запись в трудовой книжке. От 4 разряда.","RUR","55000","null"
"Охранник в Москву","Объекты: производственные, логистические центры, склады, ритейл, банки. Предотвращение хищений. Обеспечение безопасности сотрудников и посетителей на территории охраняемого объекта, пресечение конфликтных...","Рассматриваем кандидатов с опытом и без опыта работы - возможно без УЛЧО. Аккуратность, желание работать.","RUR","30000","60000"
"Слесарь-сборщик","На работу вахтовым методом в Тульскую область требуется слесарь МСР. Доводка, сверление, сборка мелких узлов.","Чтение чертежей обязательно. От 4 разряда, опыт от 3 лет.","RUR","50000","55000"
"Менеджер по работе с ключевыми клиентами","Предоставление всего необходимого для успешного выполнения своих задач. Проводить переговоры с Клиентами. Заключать договора. Поддерживать лояльное отношение Клиентов к Компании...","Гореть желанием продавать, много и упорно учиться этому.","RUR","60000","null"
"Вальцовщик","Вальцовка, правка и гибка на вальцах и прессах деталей листового металла. Гибка кромок на вальцах и прессах. Подналадка вальцов. ","Опыт от 2х лет. От 4го разряда.","RUR","55000","null"
"Врач - терапевт участковый (г. Чехов Московская область)","Амбулаторный прием пациентов, обслуживание вызовов на дому. Оформление первичной медицинской документации.","Наличие высшего медицинского образования. Наличие сертификата по специальности &quot;Терапия&quot; или аккредитации.","RUR","60000","null"
"Слесарь-электромонтажник","Монтаж сборка регулирование и сдача сложных узлов электрических машин и электроприборов на различных станках и машинах, а также электрических машинах...","Знание устройства и назначения собираемых и устанавливаемых сложных машин высокочастотных установок преобразователей силовых трансформаторов и высоковольтной аппаратуры к ним. ","RUR","50000","null"
"Дефектоскопист","Способы настройки и устройства оборудования, применяемого для проведения ВИК, УЗК, КК, РГК. Средства и технологию проведения ВИК, УЗК, КК, РГК. ","Опыт от 3х лет. Запись в ТК. Удостоверения.","RUR","68000","null"
"Токарь-карусельщик","Работа на токарно-карусельном станке.","Опыт работы от 2-х лет. Разряд 4,5,6.","RUR","58000","68000"
"Врач анестезиолог-реаниматолог","Оказывает квалифицированную медицинскую помощь по своей специальности, используя современные методы профилактики, диагностики, лечения и реабилитации.","На должность врача-педиатра назначается лицо, имеющее высшее медицинское образование, прошедшее после вузовскую подготовку или специализацию по специальности &quot;Врач анестезиолог...","RUR","40000","null"
"Врач-рентгенолог (Серафимович)","Оказывает квалифицированную медицинскую помощь по своей специальности, используя современные методы профилактики, диагностики, лечения и реабилитации.","На должность врача рентгенолога назначается лицо, имеющее высшее медицинское образование, прошедшее после вузовскую подготовку или специализацию по специальности &quot;рентгенология&quot;.","RUR","40000","null"
"Маляр по металлу","Окрашивание блоков трубопровода с использованием краскопульта.","От 4го разряда. Опыт проведения строительных и промышленных лакокрасочных работ.","RUR","50000","null"
"Слесарь МСР","Сборка узлов и механизмов средней категории сложности. Зачистка металлоконструкций шлифовальной машинкой.","От 4 разряда. Опыт от 2х лет.","RUR","57000","null"
"Специалист по продаже недвижимости/Риэлтор","Работа с клиентской базой. Переговоры с клиентами. Проведение консультаций по сделкам с недвижимостью. Организация показов/просмотров объектов недвижимости. ","Уверенный пользователь ПК. Умение общаться с людьми и договариваться. Высочайшая работоспособность. Желание и необходимость много зарабатывать. Честность и открытость.","RUR","45000","null"
"Кондуктор","null","null","RUR","50000","70000"
"Токарь-универсал","Обработка металла на станках. Станки 1К62, Иж250.","На крупный завод в г Москва требуются специалисты в области авиастроения/машиностроения с официальным опытом работы от 3-х лет...","RUR","55000","null"
"Сварщик (НАКС, РАД)","Сварка камеры для аппаратов.","Наличие действующего удостоверения НАКС (РАД).","RUR","75000","null"
"Руководитель ( супервайзер)","Выполняет ключевые плановые показатели по сети. Осуществляет контроль процесса продаж в сети. Формирует предложения по сети в части изменения ассортимента...","Опыт управления персоналом; Знание торговых процессов Знание 1С Активность, ответственность, коммуникабельность; Опыт работы от 1 года в сфере розничных...","RUR","60000","null"
"Трубопроводчик","Проводка труб различного диаметра.","Разряд 4-5.","RUR","60000","70000"
"Продавец- кассир","Прием, выкладка и реализация товара контроль за ассортиментом и наличием товара соблюдение санитарных норм на рабочем месте.","Наличие опыта работы магазине прилавочного типа продуктов питания более 1 года наличие мед. книжки коммуникабельность, исполнительность, трудолюбие, аккуратность, ответственный подход...","RUR","45000","null"
"Токарь-карусельщик","Токарно-карусельные станки модели 1525, 1540; точность обработки 6-8 квалитет; габариты деталей диаметром до 2000-4000 мм, высотой до...","null","RUR","74000","89000"
"Оператор-наладчик с ЧПУ","Токарный ЧПУ 16К30 Ф3. Токарно-револьверный 1 В340 Ф3.","4-5 разряд. Наличие опыта работы от трех лет по трудовой книжке.","RUR","72000","145000"
"Менеджер по работе с клиентами","Компания «РусВатт»‚ комплексный поставщик инженерных систем и оборудования‚. В числе наших клиентов: - Работа с ключевыми клиентами компании. - Поиск и привлечение...","Высшее / неполное высшее образование. - Успешный опыт работы в продажах от 1 года. - Знание рынка инженерных систем (электрика, отопление, вентиляция) как...","RUR","30000","100000"
"Дробеструйщик-Шлифовщик","Очистка сложных тонкостенных отливок, изделий и деталей в очистных барабанах и дробеструйных камерах от пригара,окалины, коррозии, остатков противокоррозийного покрытия...","Образование средне-профессиональное, наличие трудовой книжки. Ответственность, исполнительность и трудолюбие.","RUR","45000","null"
"Web-аналитик/Внедренец CRM","Осуществление внедрения SaaS решения amoCRM/Bitrix24/1С:CRM. Брифинг клиента: аналитика бизнес-процессов, построение воронки, интеграция данных через...","Трудолюбие и увлеченность профессиональной деятельностью. Отношение к работе как к способу самореализации. Высокая внутренняя мотивация, готовность брать на себя ответственность...","RUR","30000","50000"
"Руководитель проектов","Участие в выборе маркетинговой стратегии. Построение проекта по этапам с целями и задачами. Управление проектом и персоналом. Управление рекламными компаниями. ","Понимание целей бизнеса и проекта и умение их достигать. Опыт запуска проектов от планирования до выхода на целевые показатели. ","RUR","40000","null"
"Технический консультант/менеджер по продажам (металлорежущий инструмент)","Активный поиск и привлечение клиентов. Поддержание и развитие деловых отношений с существующими клиентами, выявление их потенциальных потребностей. Посещение клиентов на...","Высшее техническое в области технологии машиностроения, обработки металлов резанием. Стаж работы и профессиональный опыт: наличие опыта работы в продажах b...","RUR","50000","null"
"Менеджер в отдел продаж с входящим потоком клиентов","Проведение ежедневных телефонных переговоров с нашими клиентами. Консультирование по объектам недвижимости и поиск оптимального решения в интересах. Презентации объектов недвижимости. ","Энергичностью и инициативностью. Стремлением к постоянному обучению. Способностью убеждать и ориентацией на результат. Навыками планирования и управления своим рабочим временем.","RUR","150000","null"
"Менеджер по работе с клиентами","Поиск и привлечение новых клиентов. Проведение переговоров, презентаций. Развитие действующей клиентской базы. Работа с ключевыми клиентами. Решение проблемных ситуаций, работа...","Опыт работы в активных продажах b2b от года. Опыт успешных переговоров с первыми лицами компаний-клиентов. ","RUR","50000","90000"
"Продавец-консультант","Продажа корпусной и мягкой мебели в салоне. - Выполнение плана. - Соблюдение корпоративных стандартов.","Активность в работе, стремление достигать высоких результатов. - Грамотная речь и легкость в общении.","RUR","30000","100000"
"Водитель","Перевозка грузов по Московской, Смоленской, Калужской области. Соблюдение требований к техническому состоянию автомобиля. Соблюдение условий перевозки и хранения вверенного груза.","Опыт работы на автомобилях иностранного производства строго более 3 лет. Опыт работы с полуприцепом более 1 года. Обязательно знание Московской...","RUR","70000","150000"
"Продавец-консультант (ТЦ Гагаринский)","Консультирование клиентов по ассортименту компании. Составление дизайн проектов в программе 3D. Расчет и оформление заказов.","Уверенный пользователь ПК. Активность, коммуникабельность. Готовность к обучению и развитию. Опыт работы в активных продажах будет Вашим преимуществом.","RUR","30000","60000"
"Управляющий магазином","Осуществление операций по приему, учету, выдаче и хранению денежных средств. Контроль соблюдения кассовой дисциплины, открытие и закрытие кассового дня. ","Ориентация на клиента, нацеленность на результат. Требования: Для военнообязанных - наличие военного билета или приписного свидетельства. Желателен опыт работы в аналогичной...","RUR","44500","71000"
"Специалист отдела запчастей, АМЦ","Консультация клиента. Продажа дополнительного оборудования и запасных частей. Учет поступления, перемещения, выдачи, списания, расхода запасных частей. Фотосъемка б/у шин. ","Среднее специальное, высшее образование. Грамотная речь и умение общаться с клиентами. Навыки продаж услуг сервиса. Знание устройства автомобиля. ","RUR","30000","50000"
"Фасовщик (Московская область)","Упаковка, фасовка , распределение товара на складе.","null","RUR","60300","null"
"Агроном (защищенный грунт)","Разработки и составление текущих планов производства: урожайности; себестоимости готовой продукции; видов и сортов выращиваемых культур; закупок материально-технических средств. - ","Высшее аграрное образование + повышение квалификации. - Опыт работы в крупных тепличных хозяйствах. - Стаж работы на аналогичной должности – от 3 лет. - ","RUR","90000","null"
"Токарь-универсал","Токарная обработка и доводка сложных деталей с большим числом переходов по 6-7 квалитетам, требующих перестановок и комбинированного крепления при...","Опыт работы от трех лет, чтение чертежей, наличие записей в трудовой книжке.","RUR","71000","75000"
"Слесарь-гидравлик","Чтение чертежей. Поузловая сборка конструкций согласно чертежам. Сборка узлов путевых машин.","От 4 разряда. Опыт сборки гидравлики.","RUR","56000","58000"
"Торговый представитель","Работа с существующей клиентской базой, выполнение планов продаж и дистрибуции. Контроль дебиторской задолженности клиентов. Обеспечение представленности продукции компании во всех...","Образование не ниже среднего. Водительское удостоверение категории «В» (стаж не менее 3 лет). Знание устройства автомобиля. Опыт работы в сфере...","RUR","28500","55000"
"Оператор станка с ЧПУ (координатно-пробивного пресса)","Работа на координатно-пробивном прессе с ЧПУ HPI-3048. Обработка (вырубка) деталей из листового металла от 0,6мм до...","Опыт работы оператором станков ЧПУ, опыт написания обрабатывающих программ для станков с ЧПУ. Чтение чертежей.","RUR","45000","null"
"Региональный менеджер по продажам инженерного оборудования","Работа с существующими клиентами, активный поиск новых,специализация системы водоснабжения водоотведение и комплектующие. Технические консультации. Поездки к клиентам,встречи,презентации. ","Высшее образование. Опыт работы в данной сфере от 1 года. ПК уверенный пользователь. Аккуратность, исполнительность, ответственность. Нацеленность на результат, коммуникабельность.","RUR","70000","150000"
"Специалист отдела технического перевооружения и нового строительства (г. Анадырь)","Контроль выполнения планов строительства и реконструкции. Контроль соответствия объемов, сроков и качества строительно-монтажных работ и качества применяемых материалов, изделий...","Высшее образование по профилю деятельности. Опыт работы на ТЭЦ в данной должности от 1 -го года. Знания законодательства по направлению...","RUR","85000","90000"
"Начальник отдела охраны труда и промышленной безопасности (г. Анадырь, Чукотский автономный округ)","Организация эффективной работы управления системой охраны труда на ТЭЦ. Организация производственного экологического контроля. Участие в проведении экспертизы проектов новых сооружений...","Высшее техническое образование по профилю должности. Опыт работы на должности начальника отдела охраны труда и промышленной безопасности от 5-ти...","RUR","120000","130000"
"Торговый представитель","Расширение клиентской базы, поиск новых клиентов, заключение договоров. Продажа продукции компании. Продвижение брендов компании. Работа с дебиторской задолженностью. ","Опыт работы в прямых продажах (продукты питания, алкоголь и пр.). Активность, коммуникабельность. Желание зарабатывать!","RUR","null","50000"
"Охранник","Магазины. Автосалоны. Складские комплексы. Строящиеся объекты. Бизнес-центры. Контроль соблюдения режима на охраняемом объекте, предотвращение хищений. Обеспечение безопасности работников и...","Рассматриваем кандидатов с опытом и без опыта работы. Возможно без УЛЧО. Аккуратность, ответственность, желание работать.","RUR","40000","57000"
"Региональный менеджер по продажам","Взаимодействие с главными специалистами и администрацией. Инициирование договорных отношений с клиентами. Выполнение установленного плана продаж. Эффективное исполнение стратегии продвижения и...","Образование медицинское и фармацевтическое (Приветствуется). Опыт работы в фармацевтическом бизнесе. Знание механизма государственных закупок. Опыт успешной работы в должности регионального...","RUR","60000","null"
"Дизайнер - консультант по продаже кухонной мебели","Продажа кухонной мебели по индивидуальным размерам,создание дизайн-проекта,заключение договоров с клиентами. Продажа бытовой техники и аксессуаров. ","Опыт работы в продажах не менее 1 года. Уверенный пользователь ПК. Коммуникабельность. Ответственность. Вежливость. Пунктуальность. Приветствуется знание программ по проектированию...","RUR","25000","50000"
"Разнорабочий/сварщик-монтажник","В Обязанности входит Выполнение сварных работ, монтаж ж/б конструкций, подсобные работы.","null","RUR","36000","72000"
"Java-разработчик","null","Отличное знание последних версий языка Java. Хорошее знание Сore java. Понимание принципов ООП, знание паттернов проектирования. Понимание основных сетевых протоколов...","RUR","30000","100000"
"Слесарь","сборка МК по чертежам. - абразивная обработка, шлифовка, зачистка, без чертежей. - сборка пластиковых изделий. - сборка элементов конструкции по чертежам: прикручивают плафоны...","наличие документов для официального оформления.","RUR","41000","48000"
"Газорезчик","Резка трубы - газоплазменная резка.","Наличие удостоверения. Опыт работы от 2-х лет. Подтверждение в ТК.","RUR","55000","null"
"Менеджер проектов","Вести коммуникацию с клиентами. Координировать действия команды по работе над проектом.","Обладать знаниями в маркетинге. Иметь четкое представление об инструментах маркетинга. Опыт в построении отдела продаж. Опыт в аналитике продаж.","RUR","40000","null"
"Оценщик автомобилей с пробегом","Осмотр и оценка технического состояния выкупаемых автомобилей с пробегом. Определение рыночной стоимости оцениваемых автомобилей. Принятие решения о выкупе/приёмке оцениваемых...","Опыт работы в данном направлении от 1 года. Знание устройства и конструктивных особенностей, а также особенностей эксплуатации и ремонта различных...","RUR","50000","null"
"Мастер на производство","Организация работ на формовочном участке.","Организаторские способности, дисциплинированность, ответственность. Опыт работы в должности мастер/бригадира.","RUR","65000","null"
"Начальник отдела МСФО","1. Формирование отчетности по МСФО, примечаний/раскрытий к отчетности с использованием автоматизированных систем учета, ПП в соответствии с установленным графиком. ","1. Опыт работы в должности начальника/заместителя начальника отдела МСФО от 2-х лет. 2. Наличие диплома DipIFR. 3. ","RUR","112000","140000"
"Старший менеджер отдела продаж, Корс Авто","Участие в закрытии сделок с клиентами, переговоры о цене. Решение конфликтных ситуаций. Обучение и развитие новых сотрудников отдела. ","Высшее образование. Обязателен опыт работы в автомобильном бизнесе на позициях менеджер по продажам, старший менеджер. Знание устройства автомобиля. ","RUR","70000","null"
"Оператор по продаже автострахования","Совершать звонки потенциальным клиентам с целью продажи полисов автострахования (Каско, Каско+Осаго). Вносить полученную в ходе телефонных переговоров информацию в систему...","Желание зарабатывать, работая из дома. Наличие персонального компьютера или ноутбука. Наличие головной гарнитуры. Уделять работе не менее 25 часов в...","RUR","40000","null"
"Менеджер по прямым продажам","Продвижение продукции, активный поиск и привлечение клиентов. - Работа с дизайнерами интерьера, архитектурно-проектными организациями, строительными и промышленными организациями, частными клиентами. - ","Образование высшее / средне-специальное (строительное или техническое является преимуществом). - Наличие управленческого опыта. Желательно.(Рост до руководителя отдела). - Опыт работы в...","RUR","50000","null"
"Ведущий специалист по работе с ключевыми клиентами","Проведение телефонных переговоров с потенциальными покупателями. Презентация объектов недвижимости и проведение личных встреч. Консультирование наших клиентов с целью заключения договоров...","Выбрали осознанно свой путь - развития в продажах. Имеете высокие результаты и достижения. Готовы непрерывно обучаться, планировать свое время. ","RUR","100000","null"
