name,responsibility,salary_from,salary_to,currency,url,area_name
Бармен-кассир                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Приготовление Смузи, Фрешей, Кофе, Милкшейков. Открытие, закрытие смены. Накладка мороженого! Рассчитывать гостей (наличный/безналичный).                                                                                                                                                                                                                                                                                                                                                                                       ",25000,30000,RUR                                                             ,https://hh.ru/vacancy/28380225                                                                                                  ,Россия                                                          
Экономист по труду и заработной плате                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Ведет разработку текущих и перспективных планов по труду и заработной плате предприятия.Ведет анализ и контролирует наличие персонала в пределах установленной...                                                                                                                                                                                                                                                                                                                                                               ,25000,30000,RUR                                                             ,https://hh.ru/vacancy/28453755                                                                                                  ,Россия                                                          
Администратор                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Встреча клиентов в Детском клубе. Ведение отчетной документации. Контроль за порядком в клубе. Совершение звонков клиентам.                                                                                                                                                                                                                                                                                                                                                                                                     ,15000,25000,RUR                                                             ,https://career.ru/vacancy/28380197                                                                                              ,Россия                                                          
Администратор                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Администрирует, координирует и контролирует внутреннюю работу. Ведет прием, распределение и учет клиентов, входящей информации (телефонные звонки, эл. сообщения и др.).                                                                                                                                                                                                                                                                                                                                                        ",20000,0,RUR                                                             ,https://hh.ru/vacancy/28027322                                                                                                  ,Россия                                                          
Медицинская сестра                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Забор крови и биоматериала у детей (от 0 до 18). Соблюдение сан.эпид. режима. Ведение документации. Стерилизация. Вакцинация.                                                                                                                                                                                                                                                                                                                                                                                                   ,30000,0,RUR                                                             ,https://career.ru/vacancy/28499059                                                                                              ,Россия                                                          
Администратор медицинского центра                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Регистрация и запись пациентов. Работа с кассовым аппаратом. Администрирование медицинского центра.                                                                                                                                                                                                                                                                                                                                                                                                                             ,30000,0,RUR                                                             ,https://hh.ru/vacancy/28499058                                                                                                  ,Россия                                                          
Менеджер по подбору персонала (HR менеджер)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"Прием заявок на подбор сотрудников. Составление портрета кандидата. Анализ региона и выбор источника размещения вакансии. Первичное собеседование (скайп, телефон, вотсап).                                                                                                                                                                                                                                                                                                                                                     ",30000,0,RUR                                                             ,https://career.ru/vacancy/28247346                                                                                              ,Россия                                                          
Менеджер отдела продаж                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,25000,0,RUR                                                             ,https://hh.ru/vacancy/28105594                                                                                                  ,Россия                                                          
Сортировщик                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Сортировка вторичного полиэтилена от посторонних примесей и включений (пленка закупается в торговых сетях).                                                                                                                                                                                                                                                                                                                                                                                                                     ,25000,0,RUR                                                             ,https://hh.ru/vacancy/26568549                                                                                                  ,Россия                                                          
Web-программист (Junior)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Разработка и поддержка существующей системы. Обсуждение реализации функционала. Предложение и внедрение новых решений.                                                                                                                                                                                                                                                                                                                                                                                                          ,20000,30000,RUR                                                             ,https://career.ru/vacancy/22416573                                                                                              ,Россия                                                          
